Actual,Predicted,Error
106.0,99.32246,6.6775436
48.0,69.92487,-21.924873
80.0,75.32093,4.6790695
95.0,98.25697,-3.2569733
60.0,65.41107,-5.411072
160.0,134.42253,25.577469
95.46,105.65281,-10.19281
108.0,117.39618,-9.396179
110.0,78.77209,31.227913
182.53,171.83154,10.698456
62.0,63.36425,-1.3642502
149.0,134.51074,14.489258
148.5,135.65353,12.846466
48.0,43.026955,4.9730453
95.0,93.694084,1.3059158
109.73,128.7345,-19.004494
130.0,134.06863,-4.068634
48.0,43.103287,4.8967133
157.25,208.98454,-51.734543
169.2,172.05981,-2.8598175
115.0,124.23914,-9.239143
75.0,82.48596,-7.485962
80.1,82.46824,-2.3682404
75.0,74.45601,0.5439911
123.5,126.152626,-2.652626
85.0,76.08524,8.914757
188.0,122.46609,65.53391
172.0,189.95294,-17.952942
112.95,123.715,-10.764999
60.0,64.88569,-4.885689
75.0,81.72237,-6.7223663
80.3,91.4065,-11.106499
118.8,143.04854,-24.248535
80.1,102.54181,-22.44181
95.0,107.281006,-12.281006
55.0,63.037018,-8.037018
78.75,65.35737,13.392632
135.9,124.136406,11.763588
134.1,129.24907,4.850937
75.23,101.51479,-26.28479
119.0,122.3776,-3.3776016
135.0,110.33851,24.661491
121.6,124.15738,-2.5573807
127.1,153.85492,-26.754921
40.0,35.25525,4.744751
158.73,191.80086,-33.07086
80.0,78.3527,1.6473007
45.0,71.83009,-26.830093
76.5,94.17102,-17.67102
86.0,87.71557,-1.7155685
80.1,81.83385,-1.7338486
175.05,203.29668,-28.246674
106.33,93.972145,12.357857
48.72,60.646492,-11.926491
110.0,108.139786,1.8602142
120.0,107.113266,12.886734
188.0,170.58089,17.419113
68.0,67.28645,0.71354675
137.7,168.29317,-30.59317
117.9,106.5914,11.308601
101.5,103.77265,-2.2726517
67.91,76.18902,-8.279015
101.0,94.51548,6.48452
90.67,76.26362,14.40638
95.0,83.958244,11.041756
75.0,76.13883,-1.1388321
100.0,95.87397,4.12603
105.0,103.72471,1.2752914
50.0,45.88777,4.1122284
108.8,108.08578,0.71422577
41.4,43.608818,-2.2088165
85.0,71.59216,13.407837
90.0,87.95176,2.0482407
116.36,106.08701,10.272987
99.0,133.52953,-34.529526
88.0,86.33682,1.6631775
104.4,106.285774,-1.8857727
160.4,109.55946,50.84053
220.4,209.27261,11.12738
142.17,121.9474,20.222595
108.0,101.12691,6.8730927
89.0,122.35724,-33.35724
80.85,99.50248,-18.652481
43.0,45.19384,-2.19384
42.0,40.527298,1.472702
85.0,63.090424,21.909576
