Actual,Predicted,Error
0.0,89.8192,-89.8192
76.5,99.77749,-23.277489
68.0,77.17163,-9.171631
76.5,97.03211,-20.532112
76.5,101.31672,-24.81672
76.5,97.8715,-21.371498
58.67,75.75045,-17.080452
68.0,77.4283,-9.428299
76.5,100.00474,-23.504738
76.5,100.00474,-23.504738
86.0,118.11576,-32.11576
43.0,108.40379,-65.40379
86.0,118.11576,-32.11576
63.0,93.74857,-30.748573
86.0,125.97228,-39.972282
63.0,74.28,-11.279999
63.0,93.36245,-30.36245
86.0,118.11576,-32.11576
86.0,118.11576,-32.11576
63.0,93.36245,-30.36245
86.0,125.97228,-39.972282
63.75,66.71785,-2.9678497
86.0,118.11576,-32.11576
86.0,118.11576,-32.11576
76.5,90.18495,-13.684952
60.27,3.3685079,56.901493
68.0,71.447876,-3.447876
68.0,72.77692,-4.7769165
76.5,82.77973,-6.2797318
60.0,101.63197,-41.631973
55.8,5.2014766,50.598522
52.36,87.10563,-34.74563
49.74,81.693,-31.953
76.5,84.22365,-7.723648
68.0,69.78455,-1.7845535
68.0,73.38424,-5.384239
93.6,111.62103,-18.021034
76.5,92.105156,-15.605156
76.5,92.90504,-16.405037
76.5,106.6843,-30.184303
76.5,84.998985,-8.498985
68.0,93.72311,-25.723106
68.0,76.739136,-8.739136
81.0,89.67693,-8.676933
76.08,128.07597,-51.99597
76.5,80.71082,-4.210823
76.5,90.48705,-13.987053
37.33,2.6372895,34.69271
76.5,92.15808,-15.658081
90.0,89.67693,0.3230667
45.0,124.66462,-79.66462
45.0,124.33164,-79.33164
76.5,81.33601,-4.836014
62.37,96.355125,-33.985126
48.6,4.2922983,44.3077
48.6,4.2922983,44.3077
48.6,86.14948,-37.549484
62.0,105.30523,-43.30523
76.5,96.036896,-19.536896
67.5,88.018585,-20.518585
76.5,85.42996,-8.929962
76.5,89.16572,-12.665718
76.5,89.3789,-12.878899
68.85,91.26072,-22.41072
68.85,2.9877694,65.86223
100.0,124.61503,-24.615028
76.5,90.365326,-13.865326
58.9,85.47404,-26.574036
63.75,84.74996,-20.999962
68.85,95.492386,-26.642387
76.5,87.73722,-11.237221
68.0,66.52729,1.4727097
106.25,108.54916,-2.2991562
58.9,100.19628,-41.29628
58.9,100.19628,-41.29628
51.96,13.000435,38.959564
75.0,112.832756,-37.832756
51.96,13.000435,38.959564
104.0,122.783966,-18.783966
76.5,78.36702,-1.8670197
94.5,94.689156,-0.18915558
94.5,94.689156,-0.18915558
76.5,90.83009,-14.330093
76.5,83.912636,-7.412636
94.5,94.689156,-0.18915558
94.5,94.2741,0.22589874
138.5,147.62729,-9.127289
55.96,92.06692,-36.10692
94.5,94.689156,-0.18915558
94.5,94.689156,-0.18915558
72.5,81.39908,-8.899078
94.5,94.2741,0.22589874
94.5,94.2741,0.22589874
94.5,94.689156,-0.18915558
94.5,94.2741,0.22589874
72.5,81.39908,-8.899078
94.5,94.689156,-0.18915558
94.5,94.2741,0.22589874
94.5,94.2741,0.22589874
94.5,94.689156,-0.18915558
94.5,94.2741,0.22589874
55.96,92.06692,-36.10692
72.5,81.39908,-8.899078
58.9,91.2304,-32.3304
94.5,94.689156,-0.18915558
94.5,94.689156,-0.18915558
94.5,94.689156,-0.18915558
94.5,94.689156,-0.18915558
94.5,94.2741,0.22589874
76.5,83.912636,-7.412636
94.5,94.689156,-0.18915558
94.5,94.2741,0.22589874
138.5,147.62729,-9.127289
94.5,94.689156,-0.18915558
94.5,94.2741,0.22589874
94.5,94.2741,0.22589874
76.5,81.882866,-5.382866
76.5,85.929985,-9.429985
63.75,100.15122,-36.401222
76.5,86.99154,-10.491539
76.5,77.17111,-0.67111206
91.33,86.99154,4.338463
76.5,86.99154,-10.491539
91.33,84.15902,7.1709824
76.5,77.17111,-0.67111206
91.33,86.99154,4.338463
76.5,86.691216,-10.1912155
67.15,86.947296,-19.797295
76.5,112.124535,-35.624535
76.5,93.85458,-17.354584
76.5,89.617424,-13.117424
76.5,102.86887,-26.368874
76.5,96.04166,-19.541656
55.96,99.511696,-43.551697
0.0,2.259604,-2.259604
85.5,101.15304,-15.653038
89.25,123.810555,-34.560555
89.25,93.627525,-4.3775253
76.5,91.68681,-15.186813
0.0,3.1945732,-3.1945732
68.0,91.53824,-23.538239
68.0,83.217026,-15.217026
76.5,105.52492,-29.024918
76.5,100.60093,-24.10093
76.5,113.27904,-36.779037
85.5,117.15428,-31.654282
76.5,97.97176,-21.471764
76.5,112.09672,-35.596718
52.36,85.18075,-32.820747
57.5,119.45678,-61.95678
57.5,119.45678,-61.95678
108.75,117.81064,-9.060638
75.0,117.47451,-42.47451
75.0,117.47451,-42.47451
75.0,117.47451,-42.47451
75.0,117.47451,-42.47451
75.0,117.47451,-42.47451
75.0,117.47451,-42.47451
75.0,117.47451,-42.47451
57.5,119.45678,-61.95678
75.0,117.47451,-42.47451
75.0,117.47451,-42.47451
108.75,117.81064,-9.060638
75.0,117.47451,-42.47451
75.0,117.47451,-42.47451
75.0,117.47451,-42.47451
0.0,119.45678,-119.45678
108.75,117.81064,-9.060638
75.0,117.47451,-42.47451
57.5,119.45678,-61.95678
94.5,97.550255,-3.0502548
72.5,80.961,-8.460999
94.5,97.550255,-3.0502548
94.5,117.73147,-23.231468
94.5,97.550255,-3.0502548
94.5,97.550255,-3.0502548
94.5,97.550255,-3.0502548
94.5,97.550255,-3.0502548
94.5,97.550255,-3.0502548
94.5,117.73147,-23.231468
94.5,117.73147,-23.231468
94.5,97.550255,-3.0502548
94.5,97.550255,-3.0502548
94.5,117.73147,-23.231468
94.5,97.550255,-3.0502548
94.5,97.550255,-3.0502548
94.5,97.550255,-3.0502548
94.5,97.550255,-3.0502548
94.5,97.550255,-3.0502548
94.5,97.550255,-3.0502548
138.5,151.93774,-13.437744
94.5,97.550255,-3.0502548
94.5,97.550255,-3.0502548
94.5,97.550255,-3.0502548
62.0,118.41045,-56.410454
62.0,118.41045,-56.410454
0.0,120.24429,-120.24429
62.0,131.45737,-69.45737
62.0,131.45737,-69.45737
62.0,131.45737,-69.45737
68.0,72.207924,-4.207924
62.0,131.45737,-69.45737
62.0,131.45737,-69.45737
60.0,93.48652,-33.48652
62.0,131.45737,-69.45737
62.0,131.45737,-69.45737
62.0,118.41045,-56.410454
62.0,118.41045,-56.410454
62.0,131.45737,-69.45737
62.0,131.45737,-69.45737
62.0,118.41045,-56.410454
62.0,118.41045,-56.410454
62.0,131.45737,-69.45737
62.0,131.45737,-69.45737
84.0,130.40936,-46.409363
62.0,131.45737,-69.45737
62.0,131.45737,-69.45737
62.0,118.41045,-56.410454
62.0,131.45737,-69.45737
62.0,118.41045,-56.410454
0.0,120.24429,-120.24429
62.0,131.45737,-69.45737
62.0,118.41045,-56.410454
62.0,118.41045,-56.410454
62.0,131.45737,-69.45737
62.0,113.010826,-51.010826
85.5,99.052895,-13.552895
76.5,128.86703,-52.367035
76.5,128.86703,-52.367035
80.7,98.291626,-17.591629
76.5,123.581955,-47.081955
68.0,71.84951,-3.8495102
76.5,92.15145,-15.651451
46.66,3.966258,42.69374
104.0,127.17941,-23.179413
76.5,120.01357,-43.513573
55.08,4.081865,50.99814
62.0,108.57089,-46.570892
62.0,118.980705,-56.980705
84.0,135.53888,-51.53888
62.0,133.65071,-71.65071
62.0,133.65071,-71.65071
62.0,118.980705,-56.980705
62.0,137.65707,-75.657074
62.0,133.65071,-71.65071
62.0,133.65071,-71.65071
62.0,118.980705,-56.980705
62.0,137.65707,-75.657074
62.0,133.65071,-71.65071
62.0,118.980705,-56.980705
62.0,108.57089,-46.570892
0.0,118.93079,-118.93079
84.0,135.53888,-51.53888
62.0,108.57089,-46.570892
62.0,118.980705,-56.980705
62.0,133.65071,-71.65071
62.0,133.65071,-71.65071
62.0,118.980705,-56.980705
62.0,137.65707,-75.657074
60.0,118.93079,-58.930794
62.0,133.65071,-71.65071
62.0,133.65071,-71.65071
62.0,133.65071,-71.65071
62.0,118.980705,-56.980705
62.0,137.65707,-75.657074
62.0,120.10171,-58.101707
62.0,118.980705,-56.980705
62.0,116.81257,-54.81257
62.0,118.980705,-56.980705
62.0,137.65707,-75.657074
84.0,148.02412,-64.024124
68.5,101.758026,-33.258026
76.5,121.030754,-44.530754
68.0,90.71665,-22.716652
76.5,122.12269,-45.62269
76.5,121.91128,-45.411278
76.5,127.088776,-50.588776
76.5,119.26583,-42.76583
62.0,133.65071,-71.65071
62.0,118.980705,-56.980705
0.0,118.93079,-118.93079
62.0,108.57089,-46.570892
62.0,133.65071,-71.65071
55.96,85.24821,-29.288208
62.0,137.65707,-75.657074
62.0,118.980705,-56.980705
62.0,133.65071,-71.65071
76.5,113.096306,-36.596306
90.0,123.956314,-33.956314
90.0,121.21431,-31.21431
90.0,121.21431,-31.21431
90.0,123.956314,-33.956314
90.0,123.956314,-33.956314
90.0,123.956314,-33.956314
90.0,123.956314,-33.956314
90.0,123.956314,-33.956314
90.0,123.956314,-33.956314
65.0,80.16511,-15.165108
90.0,123.956314,-33.956314
90.0,123.956314,-33.956314
0.0,80.16511,-80.16511
90.0,123.956314,-33.956314
90.0,123.956314,-33.956314
90.0,121.21431,-31.21431
90.0,121.21431,-31.21431
90.0,123.956314,-33.956314
90.0,98.56939,-8.569389
90.0,123.956314,-33.956314
90.0,121.21431,-31.21431
65.0,80.16511,-15.165108
90.0,121.80871,-31.808708
90.0,121.21431,-31.21431
90.0,123.956314,-33.956314
130.5,135.70166,-5.20166
98.2,124.95385,-26.753853
90.0,123.956314,-33.956314
0.0,80.16511,-80.16511
90.0,122.99876,-32.998756
90.0,98.56939,-8.569389
90.0,121.21431,-31.21431
90.0,123.956314,-33.956314
98.2,127.40787,-29.20787
90.0,123.956314,-33.956314
90.0,123.956314,-33.956314
90.0,123.956314,-33.956314
90.0,123.956314,-33.956314
68.0,104.94262,-36.94262
85.0,104.92128,-19.92128
17.6,132.55194,-114.95194
85.0,104.92128,-19.92128
85.0,104.92128,-19.92128
17.6,132.55194,-114.95194
0.0,69.73903,-69.73903
76.5,120.336525,-43.836525
0.0,3.2625535,-3.2625535
0.0,148.98622,-148.98622
0.0,152.33246,-152.33246
0.0,130.2736,-130.2736
0.0,142.90405,-142.90405
0.0,114.26167,-114.26167
76.5,128.3846,-51.884598
0.0,154.0813,-154.0813
0.0,114.26167,-114.26167
94.0,125.566216,-31.566216
124.25,147.23206,-22.982056
76.5,114.133484,-37.633484
94.5,96.69075,-2.1907501
94.5,96.69075,-2.1907501
86.0,152.33154,-66.33154
63.0,120.50418,-57.50418
94.5,96.69075,-2.1907501
94.5,96.69075,-2.1907501
94.5,96.69075,-2.1907501
94.5,96.69075,-2.1907501
63.0,120.50418,-57.50418
94.5,112.6543,-18.154297
94.5,96.69075,-2.1907501
94.5,96.69075,-2.1907501
94.5,96.69075,-2.1907501
94.5,96.69075,-2.1907501
94.5,96.69075,-2.1907501
94.5,96.69075,-2.1907501
63.0,120.50418,-57.50418
94.5,96.69075,-2.1907501
94.5,96.69075,-2.1907501
94.5,112.6543,-18.154297
36.25,101.9434,-65.6934
94.5,96.69075,-2.1907501
94.5,96.69075,-2.1907501
86.0,133.80087,-47.800873
86.0,133.80087,-47.800873
94.5,96.69075,-2.1907501
86.0,133.80087,-47.800873
86.0,133.80087,-47.800873
94.5,116.53587,-22.035873
94.5,96.69075,-2.1907501
124.7,166.88843,-42.18843
86.0,133.80087,-47.800873
94.5,96.69075,-2.1907501
94.5,96.69075,-2.1907501
62.0,119.613525,-57.613525
0.0,90.0391,-90.0391
62.0,104.5131,-42.5131
62.0,105.64543,-43.64543
62.0,117.717545,-55.717545
62.0,105.64543,-43.64543
62.0,134.38107,-72.38107
62.0,134.38107,-72.38107
62.0,134.38107,-72.38107
62.0,134.38107,-72.38107
62.0,109.46,-47.46
62.0,105.64543,-43.64543
0.0,90.0391,-90.0391
62.0,110.32845,-48.328453
62.0,105.64543,-43.64543
63.0,114.80976,-51.80976
62.0,105.64543,-43.64543
60.0,96.17842,-36.17842
62.0,103.48769,-41.487694
62.0,117.717545,-55.717545
62.0,134.38107,-72.38107
62.0,134.38107,-72.38107
62.0,105.64543,-43.64543
62.0,134.38107,-72.38107
62.0,103.860016,-41.860016
62.0,134.38107,-72.38107
62.0,134.38107,-72.38107
62.0,118.81045,-56.810448
62.0,117.717545,-55.717545
62.0,134.38107,-72.38107
62.0,134.38107,-72.38107
62.0,134.38107,-72.38107
85.5,105.073685,-19.573685
0.0,111.11782,-111.11782
76.5,112.31884,-35.81884
0.0,118.45672,-118.45672
58.9,127.38381,-68.48381
62.0,130.96773,-68.96773
62.0,98.715065,-36.715065
62.0,136.43587,-74.43587
62.0,136.43587,-74.43587
62.0,98.715065,-36.715065
62.0,130.96773,-68.96773
62.0,130.96773,-68.96773
84.0,138.17792,-54.177917
62.0,136.43587,-74.43587
62.0,136.43587,-74.43587
62.0,130.96773,-68.96773
62.0,130.96773,-68.96773
62.0,136.43587,-74.43587
62.0,98.715065,-36.715065
62.0,98.715065,-36.715065
62.0,122.32557,-60.32557
60.0,84.56928,-24.569283
0.0,86.61511,-86.61511
62.0,130.96773,-68.96773
62.0,130.96773,-68.96773
76.5,115.69529,-39.19529
84.0,142.58527,-58.585266
62.0,98.715065,-36.715065
62.0,98.715065,-36.715065
60.0,86.61511,-26.615112
