Actual,Predicted,Error
106.0,106.426735,-0.42673492
48.0,45.60251,2.3974915
80.0,87.450935,-7.4509354
95.0,100.412025,-5.4120255
60.0,63.3034,-3.3033981
160.0,138.9662,21.033798
95.46,131.38618,-35.926186
108.0,122.503654,-14.5036545
110.0,108.32174,1.6782608
182.53,138.50151,44.02849
62.0,64.66034,-2.6603394
149.0,158.93378,-9.933777
148.5,148.06206,0.4379425
48.0,43.949677,4.0503235
95.0,101.051636,-6.0516357
109.73,141.9657,-32.235695
130.0,133.64885,-3.6488495
48.0,57.536285,-9.536285
157.25,180.17212,-22.92212
169.2,173.43561,-4.235611
115.0,107.86385,7.1361465
75.0,85.57227,-10.572273
80.1,83.338165,-3.2381668
75.0,77.73113,-2.7311325
123.5,126.94665,-3.4466476
85.0,89.321266,-4.321266
188.0,112.647224,75.352776
172.0,157.67545,14.324554
112.95,115.14514,-2.1951447
60.0,62.892914,-2.8929138
75.0,113.29673,-38.29673
80.3,93.43926,-13.139259
118.8,126.93911,-8.139107
80.1,92.44938,-12.3493805
95.0,90.404915,4.595085
55.0,64.710335,-9.710335
78.75,79.10339,-0.35339355
135.9,152.91716,-17.017166
134.1,121.133514,12.966492
75.23,109.8698,-34.639793
119.0,126.99537,-7.995369
135.0,135.5513,-0.55130005
121.6,145.59796,-23.997963
127.1,189.83162,-62.73162
40.0,38.53573,1.4642715
158.73,202.96082,-44.23082
80.0,90.620186,-10.620186
45.0,75.300095,-30.300095
76.5,73.01464,3.4853592
86.0,101.75439,-15.754387
80.1,91.63794,-11.537941
175.05,202.05154,-27.001541
106.33,99.91833,6.4116745
48.72,60.451714,-11.731712
110.0,111.509575,-1.5095749
120.0,110.595055,9.404945
188.0,189.397,-1.3970032
68.0,88.332756,-20.332756
137.7,149.62762,-11.927628
117.9,109.83907,8.060928
101.5,103.646614,-2.146614
67.91,102.06728,-34.15728
101.0,89.06823,11.93177
90.67,87.3547,3.3153
95.0,101.35095,-6.350952
75.0,90.43105,-15.431053
100.0,104.34576,-4.3457565
105.0,110.96003,-5.9600296
50.0,46.214874,3.7851257
108.8,111.074135,-2.2741318
41.4,38.962837,2.4371643
85.0,92.308205,-7.3082047
90.0,96.82987,-6.829872
116.36,124.38674,-8.026741
99.0,139.66985,-40.669846
88.0,96.12935,-8.129349
104.4,122.38925,-17.98925
160.4,150.28973,10.11026
220.4,260.9193,-40.519318
142.17,133.07867,9.091324
108.0,127.21625,-19.216248
89.0,103.11335,-14.11335
80.85,97.52395,-16.67395
43.0,43.481445,-0.4814453
42.0,38.69835,3.301651
85.0,71.04699,13.953011
130.0,130.1081,-0.10809326
75.0,78.45272,-3.4527206
119.0,124.940704,-5.9407043
90.46,101.39822,-10.938217
72.0,59.931816,12.068184
114.0,82.52134,31.47866
54.0,72.87243,-18.872429
128.1,136.65591,-8.555908
163.33,156.83986,6.490143
115.0,115.11721,-0.11721039
156.0,153.08237,2.917633
75.0,78.199905,-3.1999054
127.25,119.37441,7.8755875
159.38,160.76721,-1.387207
56.0,64.99378,-8.993782
51.47,61.52204,-10.05204
175.0,171.99852,3.00148
115.0,116.95496,-1.9549637
127.0,121.12327,5.876732
135.0,142.80457,-7.8045654
72.25,85.2045,-12.954498
80.0,101.57801,-21.57801
75.0,77.51646,-2.5164566
110.0,131.38397,-21.383972
79.2,85.23089,-6.0308914
105.5,137.45605,-31.956055
162.0,135.6374,26.362595
101.5,106.5548,-5.054802
65.4,72.65217,-7.2521667
80.3,92.32009,-12.020088
62.0,64.72538,-2.72538
143.05,136.96521,6.084793
130.0,132.41983,-2.4198303
84.0,89.552956,-5.5529556
95.0,98.35505,-3.3550491
148.5,157.7325,-9.232498
108.5,104.349174,4.1508255
99.0,101.52293,-2.5229263
70.0,65.82783,4.1721725
146.53,136.11044,10.419556
72.25,81.85836,-9.60836
179.1,214.14423,-35.04422
90.9,113.02809,-22.12809
130.0,146.49632,-16.496323
44.0,223.99548,-179.99548
121.5,112.71276,8.787239
90.0,99.09536,-9.09536
121.0,133.10495,-12.10495
42.0,43.493286,-1.4932861
179.06,200.2668,-21.206802
139.51,101.43323,38.076767
85.5,98.60853,-13.108528
120.8,131.335,-10.535004
75.0,79.646126,-4.646126
110.0,111.997826,-1.9978256
105.0,110.48927,-5.489273
104.0,108.22982,-4.2298203
106.0,121.461494,-15.461494
209.57,167.6207,41.94931
90.0,80.214485,9.785515
158.95,131.9256,27.024399
71.4,94.5412,-23.141197
60.0,45.578445,14.421555
75.0,78.11758,-3.1175766
111.3,106.63046,4.6695404
75.0,79.46538,-4.465378
65.0,138.04692,-73.04692
74.8,76.46932,-1.6693192
70.5,70.09447,0.40553284
120.0,78.30247,41.697533
62.0,63.42254,-1.4225388
68.0,70.28662,-2.286621
78.8,50.920128,27.879875
128.25,129.41641,-1.1664124
96.3,111.02501,-14.725006
105.4,130.59418,-25.194176
75.0,77.86001,-2.8600082
58.6,55.172066,3.4279327
153.29,130.50255,22.787445
251.86,219.5394,32.320602
123.3,133.3257,-10.025696
75.0,79.646126,-4.646126
90.0,98.91065,-8.910652
65.0,72.24206,-7.242058
18.5,69.62076,-51.120758
80.1,79.16097,0.9390259
80.0,86.90258,-6.9025803
168.3,156.36784,11.932159
40.5,44.66234,-4.1623383
62.0,64.30486,-2.304863
28.0,110.472984,-82.472984
54.0,53.093323,0.90667725
75.0,76.006966,-1.0069656
74.8,80.17309,-5.373085
224.0,224.57043,-0.5704346
73.95,86.84885,-12.8988495
93.08,109.22051,-16.14051
54.0,54.913376,-0.91337585
89.1,124.632805,-35.532806
91.8,94.52328,-2.7232742
129.6,123.382805,6.217201
274.2,194.23145,79.96857
112.0,108.30891,3.6910934
96.3,104.29177,-7.991768
39.0,43.589775,-4.589775
74.8,90.41036,-15.610359
90.08,106.979034,-16.899033
80.0,78.68621,1.3137894
204.0,206.16452,-2.1645203
75.0,81.5451,-6.5450974
89.0,109.50712,-20.507118
88.4,100.4821,-12.0821
89.25,113.25788,-24.007881
83.0,80.95301,2.0469894
166.0,163.92685,2.0731506
134.0,133.98932,0.010681152
104.55,104.50649,0.043510437
85.0,82.286125,2.7138748
135.0,147.68588,-12.685883
80.6,73.460846,7.1391525
95.0,100.252945,-5.252945
60.0,60.71949,-0.71949005
100.0,106.76102,-6.761017
43.41,45.327583,-1.9175835
170.0,168.99017,1.0098267
34.0,32.348835,1.651165
126.0,130.82686,-4.8268585
97.35,90.60102,6.7489777
118.2,125.41875,-7.21875
65.8,67.0099,-1.2098999
98.74,116.39892,-17.65892
75.0,75.76334,-0.7633438
36.0,37.470158,-1.4701576
90.95,94.20551,-3.255516
209.17,155.63513,53.534866
134.1,140.24948,-6.149475
86.0,70.37481,15.625191
85.0,84.5953,0.40470123
76.0,72.197945,3.8020554
98.0,95.01992,2.9800797
157.76,131.85576,25.904236
