Actual,Predicted,Error
0.0,58.394524,-58.394524
76.5,86.97891,-10.478912
68.0,75.765724,-7.765724
76.5,97.50388,-21.003883
76.5,86.84327,-10.343269
76.5,85.51795,-9.017952
58.67,104.30784,-45.63784
68.0,80.92426,-12.924263
76.5,85.15662,-8.656616
76.5,85.15662,-8.656616
86.0,101.84279,-15.842789
43.0,101.84279,-58.84279
86.0,101.84279,-15.842789
63.0,23.313248,39.686752
86.0,101.84279,-15.842789
63.0,1.5553682,61.444633
63.0,1.5553682,61.444633
86.0,101.84279,-15.842789
86.0,101.84279,-15.842789
63.0,1.5553682,61.444633
86.0,101.84279,-15.842789
63.75,67.90729,-4.1572876
86.0,101.84279,-15.842789
86.0,101.84279,-15.842789
76.5,83.58813,-7.088127
60.27,95.566574,-35.296574
68.0,80.02844,-12.028442
68.0,85.294106,-17.294106
76.5,82.51678,-6.016777
60.0,93.22226,-33.22226
55.8,108.959114,-53.159115
52.36,82.393074,-30.033073
49.74,93.528694,-43.788692
76.5,83.0056,-6.5056
68.0,79.94491,-11.944908
68.0,72.843834,-4.843834
93.6,95.90928,-2.3092804
76.5,90.623924,-14.123924
76.5,94.108284,-17.608284
76.5,96.17556,-19.67556
76.5,85.65855,-9.158546
68.0,86.53152,-18.531517
68.0,78.46475,-10.464752
81.0,85.33634,-4.336342
76.08,92.538506,-16.458504
76.5,84.980675,-8.480675
76.5,84.980675,-8.480675
37.33,1.2577369,36.072266
76.5,85.87693,-9.37693
90.0,85.33634,4.663658
45.0,115.75042,-70.75042
45.0,115.75042,-70.75042
76.5,88.79544,-12.295441
62.37,88.57,-26.2
48.6,93.12122,-44.521225
48.6,93.12122,-44.521225
48.6,83.6328,-35.0328
62.0,114.95359,-52.95359
76.5,85.9424,-9.442398
67.5,70.81535,-3.3153534
76.5,95.92896,-19.428963
76.5,84.35188,-7.851883
76.5,88.28547,-11.785469
68.85,90.5918,-21.741798
68.85,106.03739,-37.187393
100.0,119.54356,-19.543556
76.5,86.50466,-10.004662
58.9,94.349785,-35.449783
63.75,90.43246,-26.682457
68.85,86.631256,-17.781258
76.5,86.944244,-10.444244
68.0,83.89826,-15.898262
106.25,113.88649,-7.63649
58.9,106.07539,-47.175392
58.9,106.07539,-47.175392
51.96,0.4460709,51.513927
75.0,103.220795,-28.220795
51.96,0.4460709,51.513927
104.0,122.00546,-18.005463
76.5,92.03515,-15.535149
94.5,115.110695,-20.610695
94.5,115.110695,-20.610695
76.5,94.00405,-17.504051
76.5,93.57143,-17.071426
94.5,115.110695,-20.610695
94.5,115.110695,-20.610695
138.5,166.42038,-27.92038
55.96,95.09458,-39.134583
94.5,115.110695,-20.610695
94.5,115.110695,-20.610695
72.5,111.60156,-39.101562
94.5,115.110695,-20.610695
94.5,115.110695,-20.610695
94.5,115.110695,-20.610695
94.5,115.110695,-20.610695
72.5,111.60156,-39.101562
94.5,115.110695,-20.610695
94.5,115.110695,-20.610695
94.5,115.110695,-20.610695
94.5,115.110695,-20.610695
94.5,115.110695,-20.610695
55.96,95.09458,-39.134583
72.5,111.60156,-39.101562
58.9,93.72869,-34.82869
94.5,115.110695,-20.610695
94.5,115.110695,-20.610695
94.5,115.110695,-20.610695
94.5,115.110695,-20.610695
94.5,115.110695,-20.610695
76.5,93.57143,-17.071426
94.5,115.110695,-20.610695
94.5,115.110695,-20.610695
138.5,166.42038,-27.92038
94.5,115.110695,-20.610695
94.5,115.110695,-20.610695
94.5,115.110695,-20.610695
76.5,94.341576,-17.841576
76.5,96.21446,-19.714462
63.75,87.26801,-23.518013
76.5,83.35111,-6.8511124
76.5,69.58462,6.9153824
91.33,83.35111,7.9788895
76.5,83.35111,-6.8511124
91.33,100.73677,-9.406769
76.5,69.58462,6.9153824
91.33,83.35111,7.9788895
76.5,69.948906,6.551094
67.15,78.08381,-10.933807
76.5,87.841545,-11.341545
76.5,87.56135,-11.061348
